time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0001,0.3536,0.353553,1.36394,1.36394,0,0,0,8.51433e-20,0,-nan,-nan,0,0,0
0.0002,0.3536,0.353554,1.36394,1.36394,0,0.000228897,0,-0.137493,0,-2.04803,-72.3936,0,0,0
0.0003,0.3536,0.353558,1.36394,1.36393,0,0.0004558,0,-0.274449,0,-2.04686,-72.3885,0,0,0
0.0004,0.3536,0.353564,1.36394,1.36391,0,0.000680752,0,-0.410853,0,-2.04339,-72.3732,0,0,0
0.0005,0.3536,0.353572,1.36394,1.36389,0,0.000903778,0,-0.546686,0,-2.03754,-72.3477,0,0,0
0.0006,0.3536,0.353583,1.36394,1.36386,0,0.00112493,0,-0.681933,0,-2.02941,-72.3121,0,0,0
0.0007,0.3536,0.353596,1.36394,1.36382,0,0.00134423,0,-0.816576,0,-2.01901,-72.2663,0,0,0
0.0008,0.3536,0.353612,1.36394,1.36378,0,0.00156172,0,-0.950599,0,-2.00625,-72.2105,0,0,0
0.0009,0.3536,0.353629,1.36394,1.36373,0,0.00177744,0,-1.08399,0,-1.99129,-72.1447,0,0,0
0.001,0.3536,0.35365,1.36394,1.36368,0,0.00199141,0,-1.21672,0,-1.97398,-72.0689,0,0,0
0.0011,0.3536,0.353672,1.36394,1.36361,0,0.00220367,0,-1.34879,0,-1.95444,-71.9832,0,0,0
0.0012,0.3536,0.353697,1.36394,1.36355,0,0.00241429,0,-1.48017,0,-1.9327,-71.8878,0,0,0
0.0013,0.3536,0.353724,1.36394,1.36347,0,0.00262323,0,-1.61085,0,-1.9086,-71.7825,0,0,0
0.0014,0.3536,0.353754,1.36394,1.36339,0,0.00283059,0,-1.74082,0,-1.88239,-71.6675,0,0,0
0.0015,0.3536,0.353786,1.36394,1.3633,0,0.00303644,0,-1.87005,0,-1.8539,-71.5427,0,0,0
0.0016,0.3536,0.35382,1.36394,1.36321,0,0.0032407,0,-1.99854,0,-1.82322,-71.4084,0,0,0
0.0017,0.3536,0.353856,1.36394,1.36311,0,0.00344351,0,-2.12627,0,-1.79033,-71.2645,0,0,0
0.0018,0.3536,0.353894,1.36394,1.36301,0,0.00364485,0,-2.25322,0,-1.75525,-71.1111,0,0,0
0.0019,0.3536,0.353935,1.36394,1.3629,0,0.0038448,0,-2.37938,0,-1.71806,-70.9486,0,0,0
0.002,0.3536,0.353978,1.36394,1.36278,0,0.00404334,0,-2.50474,0,-1.6787,-70.7764,0,0,0
0.0021,0.3536,0.354023,1.36394,1.36265,0,0.00424051,0,-2.62928,0,-1.63714,-70.5948,0,0,0
0.0022,0.3536,0.35407,1.36394,1.36253,0,0.0044364,0,-2.75298,0,-1.5935,-70.4042,0,0,0
0.0023,0.3536,0.35412,1.36394,1.36239,0,0.00463104,0,-2.87584,0,-1.54771,-70.2044,0,0,0
0.0024,0.3536,0.354171,1.36394,1.36225,0,0.0048244,0,-2.99784,0,-1.49987,-69.9955,0,0,0
0.0025,0.3536,0.354225,1.36394,1.3621,0,0.00501657,0,-3.11896,0,-1.44989,-69.7776,0,0,0
0.0026,0.3536,0.354281,1.36394,1.36195,0,0.0052076,0,-3.23919,0,-1.3978,-69.5506,0,0,0
0.0027,0.3536,0.354339,1.36394,1.36179,0,0.0053975,0,-3.35853,0,-1.34379,-69.315,0,0,0
0.0028,0.3536,0.354399,1.36394,1.36163,0,0.00558621,0,-3.47694,0,-1.2876,-69.0704,0,0,0
0.0029,0.3536,0.354461,1.36394,1.36146,0,0.00577396,0,-3.59444,0,-1.22945,-68.8173,0,0,0
0.003,0.3536,0.354525,1.36394,1.36128,0,0.0059607,0,-3.71099,0,-1.16929,-68.5556,0,0,0
0.0031,0.3536,0.354591,1.36394,1.3611,0,0.00614637,0,-3.82659,0,-1.10708,-68.2852,0,0,0
0.0032,0.3536,0.354659,1.36394,1.36092,0,0.00633109,0,-3.94123,0,-1.04297,-68.0064,0,0,0
0.0033,0.3536,0.35473,1.36394,1.36072,0,0.00651497,0,-4.05489,0,-0.976808,-67.719,0,0,0
0.0034,0.3536,0.354802,1.36394,1.36053,0,0.00669783,0,-4.16757,0,-0.908768,-67.4236,0,0,0
0.0035,0.3536,0.354876,1.36394,1.36033,0,0.00687993,0,-4.27924,0,-0.838729,-67.1199,0,0,0
0.0036,0.3536,0.354952,1.36394,1.36012,0,0.00706124,0,-4.38991,0,-0.766816,-66.808,0,0,0
0.0037,0.3536,0.35503,1.36394,1.35991,0,0.00724179,0,-4.49955,0,-0.692995,-66.4881,0,0,0
0.0038,0.3536,0.35511,1.36394,1.35969,0,0.00742149,0,-4.60816,0,-0.617268,-66.1603,0,0,0
0.0039,0.3536,0.355191,1.36394,1.35947,0,0.00760055,0,-4.71573,0,-0.539725,-65.8246,0,0,0
0.004,0.3536,0.355275,1.36394,1.35924,0,0.00777894,0,-4.82225,0,-0.460322,-65.4811,0,0,0
0.0041,0.3536,0.35536,1.36394,1.359,0,0.00795674,0,-4.9277,0,-0.379088,-65.1301,0,0,0
0.0042,0.3536,0.355447,1.36394,1.35877,0,0.00813383,0,-5.03207,0,-0.295993,-64.7713,0,0,0
0.0043,0.3536,0.355536,1.36394,1.35852,0,0.00831038,0,-5.13537,0,-0.211158,-64.4051,0,0,0
0.0044,0.3536,0.355627,1.36394,1.35828,0,0.00848639,0,-5.23756,0,-0.124569,-64.0315,0,0,0
0.0045,0.3536,0.35572,1.36394,1.35802,0,0.00866199,0,-5.33866,0,-0.0361896,-63.6505,0,0,0
0.0046,0.3536,0.355814,1.36394,1.35777,0,0.00883698,0,-5.43864,0,0.0539017,-63.2625,0,0,0
0.0047,0.3536,0.35591,1.36394,1.35751,0,0.00901169,0,-5.53751,0,0.145699,-62.8672,0,0,0
0.0048,0.3536,0.356007,1.36394,1.35724,0,0.00918585,0,-5.63524,0,0.239212,-62.465,0,0,0
0.0049,0.3536,0.356107,1.36394,1.35697,0,0.0093596,0,-5.73183,0,0.334363,-62.0558,0,0,0
0.005,0.3536,0.356208,1.36394,1.3567,0,0.00953317,0,-5.82728,0,0.431185,-61.6399,0,0,0
0.0051,0.3536,0.35631,1.36394,1.35642,0,0.00970638,0,-5.92157,0,0.529645,-61.2173,0,0,0
0.0052,0.3536,0.356414,1.36394,1.35613,0,0.00987935,0,-6.0147,0,0.629703,-60.7882,0,0,0
0.0053,0.3536,0.35652,1.36394,1.35585,0,0.0100521,0,-6.10666,0,0.731364,-60.3525,0,0,0
0.0054,0.3536,0.356628,1.36394,1.35555,0,0.0102248,0,-6.19744,0,0.834621,-59.9101,0,0,0
0.0055,0.3536,0.356737,1.36394,1.35526,0,0.010397,0,-6.28703,0,0.939405,-59.4617,0,0,0
0.0056,0.3536,0.356847,1.36394,1.35496,0,0.0105693,0,-6.37544,0,1.04567,-59.007,0,0,0
0.0057,0.3536,0.356959,1.36394,1.35466,0,0.0107415,0,-6.46264,0,1.1535,-58.5462,0,0,0
0.0058,0.3536,0.357072,1.36394,1.35435,0,0.0109134,0,-6.54864,0,1.26281,-58.0794,0,0,0
0.0059,0.3536,0.357187,1.36394,1.35404,0,0.0110854,0,-6.63342,0,1.37353,-57.6068,0,0,0
0.006,0.3536,0.357303,1.36394,1.35372,0,0.0112574,0,-6.71699,0,1.48579,-57.1283,0,0,0
0.0061,0.3536,0.357421,1.36394,1.3534,0,0.0114294,0,-6.79933,0,1.5994,-56.6441,0,0,0
