time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0001,0.3536,0.353553,1.36394,1.36394,0,0,0,-8.18656e-20,0,-nan,-nan,0,0,0
0.0002,0.3536,0.353554,1.36394,1.36394,0,-0.000366289,0,-0.135809,0,-2.04803,-72.3936,0,0,0
0.0003,0.3536,0.353558,1.36394,1.36393,0,-0.000729881,0,-0.271096,0,-2.04685,-72.3885,0,0,0
0.0004,0.3536,0.353564,1.36394,1.36391,0,-0.00109077,0,-0.405842,0,-2.04339,-72.3732,0,0,0
0.0005,0.3536,0.353572,1.36394,1.36389,0,-0.00144896,0,-0.540031,0,-2.03753,-72.3477,0,0,0
0.0006,0.3536,0.353583,1.36394,1.36386,0,-0.00180443,0,-0.673647,0,-2.0294,-72.3121,0,0,0
0.0007,0.3536,0.353596,1.36394,1.36382,0,-0.00215717,0,-0.806672,0,-2.01899,-72.2663,0,0,0
0.0008,0.3536,0.353612,1.36394,1.36378,0,-0.00250718,0,-0.939089,0,-2.00623,-72.2105,0,0,0
0.0009,0.3536,0.353629,1.36394,1.36373,0,-0.00285448,0,-1.07088,0,-1.99126,-72.1447,0,0,0
0.001,0.3536,0.35365,1.36394,1.36368,0,-0.00319903,0,-1.20204,0,-1.97394,-72.0689,0,0,0
0.0011,0.3536,0.353672,1.36394,1.36361,0,-0.0035408,0,-1.33253,0,-1.95438,-71.9832,0,0,0
0.0012,0.3536,0.353697,1.36394,1.36355,0,-0.00387987,0,-1.46236,0,-1.93264,-71.8878,0,0,0
0.0013,0.3536,0.353724,1.36394,1.36347,0,-0.00421619,0,-1.5915,0,-1.90853,-71.7825,0,0,0
0.0014,0.3536,0.353754,1.36394,1.36339,0,-0.00454974,0,-1.71993,0,-1.8823,-71.6675,0,0,0
0.0015,0.3536,0.353786,1.36394,1.3633,0,-0.00488052,0,-1.84765,0,-1.8538,-71.5427,0,0,0
0.0016,0.3536,0.35382,1.36394,1.36321,0,-0.00520858,0,-1.97463,0,-1.8231,-71.4084,0,0,0
0.0017,0.3536,0.353856,1.36394,1.36311,0,-0.00553381,0,-2.10086,0,-1.79019,-71.2645,0,0,0
0.0018,0.3536,0.353894,1.36394,1.36301,0,-0.00585636,0,-2.22633,0,-1.75509,-71.1111,0,0,0
0.0019,0.3536,0.353935,1.36394,1.3629,0,-0.00617611,0,-2.35102,0,-1.71789,-70.9486,0,0,0
0.002,0.3536,0.353978,1.36394,1.36278,0,-0.00649309,0,-2.47491,0,-1.6785,-70.7764,0,0,0
0.0021,0.3536,0.354023,1.36394,1.36265,0,-0.00680727,0,-2.598,0,-1.63692,-70.5948,0,0,0
0.0022,0.3536,0.35407,1.36394,1.36253,0,-0.00711879,0,-2.72026,0,-1.59326,-70.4042,0,0,0
0.0023,0.3536,0.35412,1.36394,1.36239,0,-0.00742742,0,-2.84169,0,-1.54744,-70.2044,0,0,0
0.0024,0.3536,0.354171,1.36394,1.36225,0,-0.00773335,0,-2.96227,0,-1.49958,-69.9956,0,0,0
0.0025,0.3536,0.354225,1.36394,1.3621,0,-0.00803649,0,-3.08198,0,-1.44958,-69.7776,0,0,0
0.0026,0.3536,0.354281,1.36394,1.36195,0,-0.00833696,0,-3.20082,0,-1.39747,-69.5506,0,0,0
0.0027,0.3536,0.354339,1.36394,1.36179,0,-0.00863463,0,-3.31876,0,-1.34343,-69.315,0,0,0
0.0028,0.3536,0.354399,1.36394,1.36163,0,-0.00892955,0,-3.4358,0,-1.28721,-69.0705,0,0,0
