time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0001,0.3536,0.353553,1.36394,1.36394,0,-0,0,6.52586e-20,0,-nan,-nan,0,0,0
0.0002,0.3536,0.353554,1.36394,1.36394,0,0.000366289,0,-0.137799,0,-2.04803,-72.3936,0,0,0
0.0003,0.3536,0.353558,1.36394,1.36393,0,0.000729885,0,-0.27506,0,-2.04686,-72.3885,0,0,0
0.0004,0.3536,0.353564,1.36394,1.36391,0,0.00109077,0,-0.411767,0,-2.04332,-72.3731,0,0,0
0.0005,0.3536,0.353572,1.36394,1.36389,0,0.00144895,0,-0.547902,0,-2.03746,-72.3476,0,0,0
0.0006,0.3536,0.353583,1.36394,1.36386,0,0.00180442,0,-0.683448,0,-2.02929,-72.3119,0,0,0
0.0007,0.3536,0.353596,1.36394,1.36382,0,0.00215718,0,-0.818389,0,-2.0188,-72.2663,0,0,0
0.0008,0.3536,0.353612,1.36394,1.36378,0,0.00250719,0,-0.952709,0,-2.00604,-72.2105,0,0,0
0.0009,0.3536,0.353629,1.36394,1.36373,0,0.00285447,0,-1.08639,0,-1.99092,-72.1446,0,0,0
0.001,0.3536,0.35365,1.36394,1.36367,0,0.00319903,0,-1.21942,0,-1.97353,-72.0688,0,0,0
0.0011,0.3536,0.353672,1.36394,1.36361,0,0.0035408,0,-1.35177,0,-1.95386,-71.9832,0,0,0
0.0012,0.3536,0.353697,1.36394,1.36354,0,0.00387987,0,-1.48344,0,-1.93195,-71.8876,0,0,0
0.0013,0.3536,0.353724,1.36394,1.36347,0,0.00421616,0,-1.61441,0,-1.90777,-71.7824,0,0,0
0.0014,0.3536,0.353754,1.36394,1.36339,0,0.00454971,0,-1.74466,0,-1.88131,-71.6672,0,0,0
0.0015,0.3536,0.353785,1.36394,1.3633,0,0.00488052,0,-1.87417,0,-1.85266,-71.5426,0,0,0
0.0016,0.3536,0.353819,1.36394,1.36321,0,0.00520855,0,-2.00294,0,-1.82182,-71.4083,0,0,0
0.0017,0.3536,0.353856,1.36394,1.36311,0,0.00553384,0,-2.13094,0,-1.78872,-71.2644,0,0,0
0.0018,0.3536,0.353894,1.36394,1.363,0,0.00585634,0,-2.25817,0,-1.75345,-71.111,0,0,0
0.0019,0.3536,0.353935,1.36394,1.36289,0,0.00617608,0,-2.3846,0,-1.71604,-70.9483,0,0,0
0.002,0.3536,0.353978,1.36394,1.36277,0,0.00649309,0,-2.51023,0,-1.67636,-70.776,0,0,0
0.0021,0.3536,0.354023,1.36394,1.36265,0,0.0068073,0,-2.63503,0,-1.63459,-70.5945,0,0,0
0.0022,0.3536,0.35407,1.36394,1.36252,0,0.00711879,0,-2.75899,0,-1.5907,-70.4039,0,0,0
0.0023,0.3536,0.35412,1.36394,1.36238,0,0.00742751,0,-2.88211,0,-1.54461,-70.2039,0,0,0
0.0024,0.3536,0.354171,1.36394,1.36224,0,0.0077334,0,-3.00436,0,-1.49644,-69.9949,0,0,0
0.0025,0.3536,0.354225,1.36394,1.36209,0,0.00803655,0,-3.12573,0,-1.44614,-69.777,0,0,0
0.0026,0.3536,0.354281,1.36394,1.36194,0,0.00833702,0,-3.24621,0,-1.39384,-69.5502,0,0,0
0.0027,0.3536,0.354339,1.36394,1.36178,0,0.00863469,0,-3.36579,0,-1.33942,-69.3144,0,0,0
0.0028,0.3536,0.354398,1.36394,1.36161,0,0.00892955,0,-3.48445,0,-1.28295,-69.0699,0,0,0
0.0029,0.3536,0.354461,1.36394,1.36144,0,0.00922167,0,-3.60218,0,-1.22441,-68.8167,0,0,0
0.003,0.3536,0.354525,1.36394,1.36127,0,0.00951111,0,-3.71897,0,-1.16384,-68.5546,0,0,0
0.0031,0.3536,0.354591,1.36394,1.36108,0,0.00979781,0,-3.8348,0,-1.10129,-68.2843,0,0,0
0.0032,0.3536,0.354659,1.36394,1.3609,0,0.0100816,0,-3.94966,0,-1.03678,-68.0054,0,0,0
0.0033,0.3536,0.354729,1.36394,1.3607,0,0.0103629,0,-4.06355,0,-0.970246,-67.7181,0,0,0
0.0034,0.3536,0.354801,1.36394,1.36051,0,0.0106413,0,-4.17644,0,-0.901741,-67.4225,0,0,0
0.0035,0.3536,0.354875,1.36394,1.3603,0,0.0109171,0,-4.28833,0,-0.83133,-67.1187,0,0,0
0.0036,0.3536,0.354951,1.36394,1.36009,0,0.0111901,0,-4.3992,0,-0.758952,-66.8068,0,0,0
0.0037,0.3536,0.355029,1.36394,1.35988,0,0.0114605,0,-4.50905,0,-0.684713,-66.4868,0,0,0
0.0038,0.3536,0.355109,1.36394,1.35966,0,0.0117281,0,-4.61786,0,-0.608583,-66.159,0,0,0
0.0039,0.3536,0.35519,1.36394,1.35944,0,0.0119931,0,-4.72563,0,-0.530501,-65.8232,0,0,0
0.004,0.3536,0.355274,1.36394,1.35921,0,0.0122553,0,-4.83234,0,-0.450679,-65.4798,0,0,0
0.0041,0.3536,0.355359,1.36394,1.35897,0,0.0125149,0,-4.93798,0,-0.368935,-65.1286,0,0,0
0.0042,0.3536,0.355446,1.36394,1.35873,0,0.0127718,0,-5.04254,0,-0.285392,-64.7697,0,0,0
0.0043,0.3536,0.355535,1.36394,1.35849,0,0.0130259,0,-5.14601,0,-0.200048,-64.4035,0,0,0
0.0044,0.3536,0.355626,1.36394,1.35824,0,0.0132776,0,-5.24838,0,-0.112919,-64.0296,0,0,0
0.0045,0.3536,0.355718,1.36394,1.35799,0,0.0135266,0,-5.34965,0,-0.024081,-63.6488,0,0,0
0.0046,0.3536,0.355813,1.36394,1.35773,0,0.0137728,0,-5.44979,0,0.0665579,-63.2606,0,0,0
0.0047,0.3536,0.355908,1.36394,1.35747,0,0.0140166,0,-5.54882,0,0.158902,-62.8652,0,0,0
0.0048,0.3536,0.356006,1.36394,1.3572,0,0.0142577,0,-5.64671,0,0.252918,-62.463,0,0,0
0.0049,0.3536,0.356105,1.36394,1.35693,0,0.0144962,0,-5.74345,0,0.34865,-62.0539,0,0,0
0.005,0.3536,0.356206,1.36394,1.35665,0,0.0147321,0,-5.83904,0,0.44602,-61.6378,0,0,0
0.0051,0.3536,0.356309,1.36394,1.35637,0,0.0149654,0,-5.93347,0,0.545026,-61.215,0,0,0
0.0052,0.3536,0.356413,1.36394,1.35609,0,0.0151963,0,-6.02674,0,0.64567,-60.7856,0,0,0
0.0053,0.3536,0.356519,1.36394,1.3558,0,0.0154245,0,-6.11883,0,0.747963,-60.3498,0,0,0
0.0054,0.3536,0.356626,1.36394,1.3555,0,0.0156503,0,-6.20973,0,0.851775,-59.9075,0,0,0
0.0055,0.3536,0.356735,1.36394,1.35521,0,0.0158736,0,-6.29945,0,0.957144,-59.4589,0,0,0
0.0056,0.3536,0.356845,1.36394,1.35491,0,0.0160941,0,-6.38796,0,1.06404,-59.0041,0,0,0
0.0057,0.3536,0.356957,1.36394,1.3546,0,0.0163124,0,-6.47528,0,1.17247,-58.5432,0,0,0
0.0058,0.3536,0.35707,1.36394,1.35429,0,0.016528,0,-6.56138,0,1.28237,-58.0764,0,0,0
0.0059,0.3536,0.357185,1.36394,1.35398,0,0.0167414,0,-6.64626,0,1.39372,-57.6037,0,0,0
0.006,0.3536,0.357301,1.36394,1.35366,0,0.0169523,0,-6.72992,0,1.50653,-57.125,0,0,0
0.0061,0.3536,0.357419,1.36394,1.35334,0,0.0171608,0,-6.81235,0,1.62078,-56.6408,0,0,0
0.0062,0.3536,0.357538,1.36394,1.35302,0,0.0173668,0,-6.89355,0,1.7364,-56.1511,0,0,0
0.0063,0.3536,0.357658,1.36394,1.35269,0,0.0175704,0,-6.9735,0,1.85339,-55.6557,0,0,0
0.0064,0.3536,0.35778,1.36394,1.35236,0,0.0177716,0,-7.05221,0,1.97181,-55.155,0,0,0
0.0065,0.3536,0.357903,1.36394,1.35202,0,0.0179704,0,-7.12966,0,2.09146,-54.6492,0,0,0
0.0066,0.3536,0.358027,1.36394,1.35169,0,0.0181669,0,-7.20586,0,2.21245,-54.1381,0,0,0
0.0067,0.3536,0.358152,1.36394,1.35135,0,0.0183612,0,-7.2808,0,2.33474,-53.6219,0,0,0
0.0068,0.3536,0.358279,1.36394,1.351,0,0.018553,0,-7.35447,0,2.45828,-53.1009,0,0,0
0.0069,0.3536,0.358407,1.36394,1.35065,0,0.0187426,0,-7.42688,0,2.583,-52.5752,0,0,0
0.007,0.3536,0.358536,1.36394,1.3503,0,0.0189301,0,-7.49801,0,2.70905,-52.0445,0,0,0
0.0071,0.3536,0.358667,1.36394,1.34995,0,0.0191152,0,-7.56786,0,2.83621,-51.5093,0,0,0
0.0072,0.3536,0.358798,1.36394,1.3496,0,0.019298,0,-7.63643,0,2.96454,-50.9695,0,0,0
0.0073,0.3536,0.358931,1.36394,1.34924,0,0.0194787,0,-7.70372,0,3.09396,-50.4255,0,0,0
0.0074,0.3536,0.359064,1.36394,1.34888,0,0.019657,0,-7.76972,0,3.22456,-49.877,0,0,0
0.0075,0.3536,0.359199,1.36394,1.34851,0,0.0198332,0,-7.83443,0,3.35619,-49.3245,0,0,0
0.0076,0.3536,0.359335,1.36394,1.34815,0,0.0200075,0,-7.89784,0,3.48895,-48.7678,0,0,0
0.0077,0.3536,0.359472,1.36394,1.34778,0,0.0201793,0,-7.95997,0,3.62265,-48.2073,0,0,0
0.0078,0.3536,0.35961,1.36394,1.34741,0,0.0203491,0,-8.02079,0,3.75745,-47.6428,0,0,0
0.0079,0.3536,0.359749,1.36394,1.34703,0,0.020517,0,-8.08031,0,3.89318,-47.0745,0,0,0
0.008,0.3536,0.359888,1.36394,1.34666,0,0.0206827,0,-8.13854,0,4.02986,-46.5028,0,0,0
0.0081,0.3536,0.360029,1.36394,1.34628,0,0.0208462,0,-8.19545,0,4.16751,-45.9274,0,0,0
0.0082,0.3536,0.360171,1.36394,1.3459,0,0.0210078,0,-8.25107,0,4.30607,-45.3485,0,0,0
0.0083,0.3536,0.360313,1.36394,1.34552,0,0.0211673,0,-8.30538,0,4.44547,-44.7664,0,0,0
0.0084,0.3536,0.360457,1.36394,1.34513,0,0.0213249,0,-8.35838,0,4.58574,-44.181,0,0,0
0.0085,0.3536,0.360601,1.36394,1.34475,0,0.0214804,0,-8.41007,0,4.72683,-43.5927,0,0,0
0.0086,0.3536,0.360746,1.36394,1.34436,0,0.0216341,0,-8.46045,0,4.86873,-43.0012,0,0,0
0.0087,0.3536,0.360892,1.36394,1.34397,0,0.0217856,0,-8.50953,0,5.01137,-42.4069,0,0,0
0.0088,0.3536,0.361038,1.36394,1.34358,0,0.0219355,0,-8.5573,0,5.15482,-41.8097,0,0,0
0.0089,0.3536,0.361186,1.36394,1.34318,0,0.0220833,0,-8.60375,0,5.29892,-41.2101,0,0,0
0.009,0.3536,0.361334,1.36394,1.34279,0,0.0222292,0,-8.64891,0,5.44377,-40.6077,0,0,0
0.0091,0.3536,0.361482,1.36394,1.34239,0,0.0223734,0,-8.69275,0,5.58926,-40.0029,0,0,0
0.0092,0.3536,0.361632,1.36394,1.342,0,0.0225158,0,-8.73528,0,5.73541,-39.3957,0,0,0
0.0093,0.3536,0.361782,1.36394,1.3416,0,0.0226562,0,-8.7765,0,5.88216,-38.7863,0,0,0
0.0094,0.3536,0.361933,1.36394,1.3412,0,0.022795,0,-8.81642,0,6.02949,-38.1747,0,0,0
0.0095,0.3536,0.362084,1.36394,1.3408,0,0.0229319,0,-8.85504,0,6.17739,-37.5611,0,0,0
0.0096,0.3536,0.362236,1.36394,1.3404,0,0.023067,0,-8.89235,0,6.32581,-36.9455,0,0,0
0.0097,0.3536,0.362388,1.36394,1.34,0,0.0232005,0,-8.92836,0,6.47476,-36.3281,0,0,0
0.0098,0.3536,0.362541,1.36394,1.33959,0,0.0233322,0,-8.96306,0,6.62411,-35.7091,0,0,0
0.0099,0.3536,0.362695,1.36394,1.33919,0,0.0234622,0,-8.99647,0,6.77399,-35.0883,0,0,0
0.01,0.3536,0.362849,1.36394,1.33879,0,0.0235908,0,-9.02859,0,6.92422,-34.4661,0,0,0
0.0101,0.3536,0.363003,1.36394,1.33838,0,0.0237174,0,-9.05941,0,7.07491,-33.8423,0,0,0
0.0102,0.3536,0.363158,1.36394,1.33797,0,0.0238425,0,-9.08893,0,7.22594,-33.2174,0,0,0
0.0103,0.3536,0.363313,1.36394,1.33757,0,0.023966,0,-9.11717,0,7.37725,-32.5913,0,0,0
0.0104,0.3536,0.363469,1.36394,1.33716,0,0.0240878,0,-9.14412,0,7.52896,-31.9638,0,0,0
0.0105,0.3536,0.363625,1.36394,1.33676,0,0.0242082,0,-9.16979,0,7.68094,-31.3354,0,0,0
0.0106,0.3536,0.363781,1.36394,1.33635,0,0.024327,0,-9.19418,0,7.83311,-30.7062,0,0,0
0.0107,0.3536,0.363938,1.36394,1.33594,0,0.0244443,0,-9.21729,0,7.98554,-30.0759,0,0,0
0.0108,0.3536,0.364095,1.36394,1.33553,0,0.0245602,0,-9.23913,0,8.13816,-29.4452,0,0,0
0.0109,0.3536,0.364252,1.36394,1.33513,0,0.0246743,0,-9.2597,0,8.29097,-28.8136,0,0,0
0.011,0.3536,0.36441,1.36394,1.33472,0,0.0247872,0,-9.27901,0,8.44387,-28.1818,0,0,0
0.0111,0.3536,0.364567,1.36394,1.33431,0,0.0248985,0,-9.29705,0,8.59692,-27.5491,0,0,0
0.0112,0.3536,0.364725,1.36394,1.3339,0,0.0250084,0,-9.31383,0,8.75006,-26.9163,0,0,0
0.0113,0.3536,0.364884,1.36394,1.3335,0,0.025117,0,-9.32936,0,8.90329,-26.2833,0,0,0
0.0114,0.3536,0.365042,1.36394,1.33309,0,0.0252241,0,-9.34365,0,9.05645,-25.6501,0,0,0
0.0115,0.3536,0.3652,1.36394,1.33269,0,0.0253299,0,-9.35668,0,9.2097,-25.0168,0,0,0
0.0116,0.3536,0.365359,1.36394,1.33228,0,0.0254344,0,-9.36848,0,9.36288,-24.3835,0,0,0
0.0117,0.3536,0.365518,1.36394,1.33188,0,0.0255375,0,-9.37905,0,9.51602,-23.7505,0,0,0
0.0118,0.3536,0.365677,1.36394,1.33147,0,0.0256392,0,-9.38838,0,9.66907,-23.1176,0,0,0
0.0119,0.3536,0.365836,1.36394,1.33107,0,0.0257397,0,-9.39649,0,9.82205,-22.4847,0,0,0
0.012,0.3536,0.365994,1.36394,1.33067,0,0.0258389,0,-9.40338,0,9.9749,-21.8525,0,0,0
0.0121,0.3536,0.366153,1.36394,1.33027,0,0.0259367,0,-9.40906,0,10.1275,-21.2208,0,0,0
0.0122,0.3536,0.366312,1.36394,1.32987,0,0.0260333,0,-9.41353,0,10.2799,-20.5897,0,0,0
0.0123,0.3536,0.366471,1.36394,1.32947,0,0.0261288,0,-9.4168,0,10.4322,-19.9591,0,0,0
0.0124,0.3536,0.36663,1.36394,1.32907,0,0.0262231,0,-9.41888,0,10.5841,-19.3294,0,0,0
0.0125,0.3536,0.366789,1.36394,1.32867,0,0.0263159,0,-9.41976,0,10.7359,-18.7005,0,0,0
0.0126,0.3536,0.366948,1.36394,1.32827,0,0.026408,0,-9.41946,0,10.8873,-18.0725,0,0,0
0.0127,0.3536,0.367106,1.36394,1.32788,0,0.0264986,0,-9.41798,0,11.0384,-17.4452,0,0,0
0.0128,0.3536,0.367265,1.36394,1.32749,0,0.0265881,0,-9.41534,0,11.189,-16.8193,0,0,0
0.0129,0.3536,0.367423,1.36394,1.32709,0,0.0266765,0,-9.41152,0,11.3394,-16.1944,0,0,0
0.013,0.3536,0.367582,1.36394,1.3267,0,0.0267638,0,-9.40656,0,11.4893,-15.571,0,0,0
0.0131,0.3536,0.36774,1.36394,1.32632,0,0.0268499,0,-9.40044,0,11.6387,-14.9488,0,0,0
0.0132,0.3536,0.367897,1.36394,1.32593,0,0.0269349,0,-9.39317,0,11.7877,-14.3279,0,0,0
0.0133,0.3536,0.368055,1.36394,1.32554,0,0.0270189,0,-9.38478,0,11.9362,-13.7085,0,0,0
0.0134,0.3536,0.368212,1.36394,1.32516,0,0.0271018,0,-9.37525,0,12.0842,-13.0907,0,0,0
0.0135,0.3536,0.36837,1.36394,1.32478,0,0.0271837,0,-9.3646,0,12.2317,-12.4746,0,0,0
0.0136,0.3536,0.368526,1.36394,1.3244,0,0.0272645,0,-9.35283,0,12.3786,-11.86,0,0,0
