time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0001,0.3536,0.353553,1.36394,1.36394,0,0,0,-1.86741e-20,0,-nan,-nan,0,0,0
0.0002,0.3536,0.353554,1.36394,1.36394,0,0,0,-0.136763,0,-2.04803,-72.3936,0,0,0
0.0003,0.3536,0.353558,1.36394,1.36393,0,0,0,-0.272996,0,-2.04686,-72.3885,0,0,0
0.0004,0.3536,0.353564,1.36394,1.36391,0,0,0,-0.408682,0,-2.04332,-72.3731,0,0,0
0.0005,0.3536,0.353572,1.36394,1.36389,0,0,0,-0.543803,0,-2.03746,-72.3476,0,0,0
0.0006,0.3536,0.353583,1.36394,1.36386,0,0,0,-0.678344,0,-2.02928,-72.3119,0,0,0
0.0007,0.3536,0.353596,1.36394,1.36382,0,0,0,-0.812288,0,-2.01879,-72.2663,0,0,0
0.0008,0.3536,0.353612,1.36394,1.36378,0,0,0,-0.945617,0,-2.00603,-72.2105,0,0,0
0.0009,0.3536,0.353629,1.36394,1.36373,0,0,0,-1.07832,0,-1.9909,-72.1446,0,0,0
0.001,0.3536,0.35365,1.36394,1.36367,0,0,0,-1.21037,0,-1.97351,-72.0688,0,0,0
0.0011,0.3536,0.353672,1.36394,1.36361,0,0,0,-1.34176,0,-1.95382,-71.9832,0,0,0
0.0012,0.3536,0.353697,1.36394,1.36354,0,0,0,-1.47246,0,-1.93192,-71.8876,0,0,0
0.0013,0.3536,0.353724,1.36394,1.36347,0,0,0,-1.60248,0,-1.90772,-71.7824,0,0,0
0.0014,0.3536,0.353754,1.36394,1.36339,0,0,0,-1.73178,0,-1.88126,-71.6672,0,0,0
0.0015,0.3536,0.353785,1.36394,1.3633,0,0,0,-1.86036,0,-1.8526,-71.5426,0,0,0
0.0016,0.3536,0.353819,1.36394,1.36321,0,0,0,-1.9882,0,-1.82175,-71.4083,0,0,0
0.0017,0.3536,0.353856,1.36394,1.36311,0,0,0,-2.11528,0,-1.78864,-71.2643,0,0,0
0.0018,0.3536,0.353894,1.36394,1.363,0,0,0,-2.24159,0,-1.75335,-71.111,0,0,0
0.0019,0.3536,0.353935,1.36394,1.36289,0,0,0,-2.36712,0,-1.71593,-70.9483,0,0,0
0.002,0.3536,0.353978,1.36394,1.36277,0,0,0,-2.49184,0,-1.67624,-70.776,0,0,0
0.0021,0.3536,0.354023,1.36394,1.36265,0,0,0,-2.61575,0,-1.63445,-70.5944,0,0,0
0.0022,0.3536,0.35407,1.36394,1.36252,0,0,0,-2.73883,0,-1.59055,-70.4039,0,0,0
0.0023,0.3536,0.35412,1.36394,1.36238,0,0,0,-2.86107,0,-1.54444,-70.2039,0,0,0
0.0024,0.3536,0.354171,1.36394,1.36224,0,0,0,-2.98245,0,-1.49626,-69.9949,0,0,0
0.0025,0.3536,0.354225,1.36394,1.36209,0,0,0,-3.10296,0,-1.44594,-69.777,0,0,0
0.0026,0.3536,0.354281,1.36394,1.36194,0,0,0,-3.22259,0,-1.39363,-69.5502,0,0,0
0.0027,0.3536,0.354339,1.36394,1.36178,0,0,0,-3.34132,0,-1.3392,-69.3144,0,0,0
0.0028,0.3536,0.354398,1.36394,1.36161,0,0,0,-3.45914,0,-1.2827,-69.0698,0,0,0
0.0029,0.3536,0.354461,1.36394,1.36144,0,0,0,-3.57604,0,-1.22415,-68.8166,0,0,0
0.003,0.3536,0.354525,1.36394,1.36127,0,0,0,-3.692,0,-1.16356,-68.5546,0,0,0
0.0031,0.3536,0.354591,1.36394,1.36108,0,0,0,-3.80701,0,-1.101,-68.2843,0,0,0
0.0032,0.3536,0.354659,1.36394,1.3609,0,0,0,-3.92107,0,-1.03647,-68.0053,0,0,0
0.0033,0.3536,0.354729,1.36394,1.3607,0,0,0,-4.03415,0,-0.969915,-67.718,0,0,0
0.0034,0.3536,0.354801,1.36394,1.36051,0,0,0,-4.14625,0,-0.901391,-67.4224,0,0,0
0.0035,0.3536,0.354875,1.36394,1.3603,0,0,0,-4.25735,0,-0.830961,-67.1187,0,0,0
0.0036,0.3536,0.354951,1.36394,1.36009,0,0,0,-4.36744,0,-0.758563,-66.8067,0,0,0
0.0037,0.3536,0.355029,1.36394,1.35988,0,0,0,-4.47651,0,-0.684304,-66.4868,0,0,0
0.0038,0.3536,0.355109,1.36394,1.35966,0,0,0,-4.58456,0,-0.608154,-66.159,0,0,0
0.0039,0.3536,0.35519,1.36394,1.35944,0,0,0,-4.69157,0,-0.530081,-65.8231,0,0,0
0.004,0.3536,0.355274,1.36394,1.35921,0,0,0,-4.79752,0,-0.450208,-65.4797,0,0,0
0.0041,0.3536,0.355359,1.36394,1.35897,0,0,0,-4.90241,0,-0.368443,-65.1285,0,0,0
0.0042,0.3536,0.355446,1.36394,1.35873,0,0,0,-5.00623,0,-0.284878,-64.7696,0,0,0
0.0043,0.3536,0.355535,1.36394,1.35849,0,0,0,-5.10897,0,-0.199512,-64.4033,0,0,0
0.0044,0.3536,0.355626,1.36394,1.35824,0,0,0,-5.21062,0,-0.112361,-64.0295,0,0,0
0.0045,0.3536,0.355718,1.36394,1.35799,0,0,0,-5.31117,0,-0.0235007,-63.6487,0,0,0
0.0046,0.3536,0.355813,1.36394,1.35773,0,0,0,-5.41061,0,0.0671606,-63.2605,0,0,0
0.0047,0.3536,0.355908,1.36394,1.35747,0,0,0,-5.50892,0,0.159528,-62.8651,0,0,0
0.0048,0.3536,0.356006,1.36394,1.3572,0,0,0,-5.60612,0,0.253562,-62.4629,0,0,0
0.0049,0.3536,0.356105,1.36394,1.35693,0,0,0,-5.70217,0,0.349325,-62.0538,0,0,0
0.005,0.3536,0.356206,1.36394,1.35665,0,0,0,-5.79708,0,0.446714,-61.6377,0,0,0
0.0051,0.3536,0.356309,1.36394,1.35637,0,0,0,-5.89083,0,0.545743,-61.2149,0,0,0
0.0052,0.3536,0.356413,1.36394,1.35609,0,0,0,-5.98343,0,0.646411,-60.7855,0,0,0
0.0053,0.3536,0.356519,1.36394,1.3558,0,0,0,-6.07485,0,0.748689,-60.3497,0,0,0
0.0054,0.3536,0.356626,1.36394,1.3555,0,0,0,-6.1651,0,0.852517,-59.9073,0,0,0
0.0055,0.3536,0.356735,1.36394,1.35521,0,0,0,-6.25416,0,0.957956,-59.4588,0,0,0
0.0056,0.3536,0.356845,1.36394,1.35491,0,0,0,-6.34204,0,1.06488,-59.004,0,0,0
0.0057,0.3536,0.356957,1.36394,1.3546,0,0,0,-6.42871,0,1.17323,-58.5433,0,0,0
0.0058,0.3536,0.35707,1.36394,1.35429,0,0,0,-6.51418,0,1.28321,-58.0763,0,0,0
0.0059,0.3536,0.357185,1.36394,1.35398,0,0,0,-6.59844,0,1.39462,-57.6035,0,0,0
0.006,0.3536,0.357301,1.36394,1.35366,0,0,0,-6.68148,0,1.50746,-57.1249,0,0,0
0.0061,0.3536,0.357419,1.36394,1.35334,0,0,0,-6.7633,0,1.62169,-56.6407,0,0,0
0.0062,0.3536,0.357538,1.36394,1.35302,0,0,0,-6.84389,0,1.73734,-56.1508,0,0,0
0.0063,0.3536,0.357658,1.36394,1.35269,0,0,0,-6.92324,0,1.85439,-55.6556,0,0,0
0.0064,0.3536,0.35778,1.36394,1.35236,0,0,0,-7.00136,0,1.97283,-55.1548,0,0,0
0.0065,0.3536,0.357903,1.36394,1.35202,0,0,0,-7.07822,0,2.09251,-54.649,0,0,0
0.0066,0.3536,0.358027,1.36394,1.35169,0,0,0,-7.15384,0,2.21352,-54.138,0,0,0
0.0067,0.3536,0.358152,1.36394,1.35135,0,0,0,-7.2282,0,2.33584,-53.6218,0,0,0
0.0068,0.3536,0.358279,1.36394,1.351,0,0,0,-7.30131,0,2.4594,-53.1008,0,0,0
0.0069,0.3536,0.358407,1.36394,1.35066,0,0,0,-7.37315,0,2.58414,-52.5749,0,0,0
0.007,0.3536,0.358536,1.36394,1.35031,0,0,0,-7.44372,0,2.71018,-52.0443,0,0,0
0.0071,0.3536,0.358667,1.36394,1.34995,0,0,0,-7.51302,0,2.83735,-51.5091,0,0,0
0.0072,0.3536,0.358798,1.36394,1.3496,0,0,0,-7.58105,0,2.9657,-50.9694,0,0,0
0.0073,0.3536,0.358931,1.36394,1.34924,0,0,0,-7.6478,0,3.0952,-50.4253,0,0,0
0.0074,0.3536,0.359064,1.36394,1.34888,0,0,0,-7.71326,0,3.22578,-49.8769,0,0,0
0.0075,0.3536,0.359199,1.36394,1.34851,0,0,0,-7.77744,0,3.35747,-49.3243,0,0,0
0.0076,0.3536,0.359335,1.36394,1.34815,0,0,0,-7.84034,0,3.49017,-48.7676,0,0,0
0.0077,0.3536,0.359472,1.36394,1.34778,0,0,0,-7.90194,0,3.62398,-48.207,0,0,0
0.0078,0.3536,0.35961,1.36394,1.34741,0,0,0,-7.96225,0,3.75871,-47.6426,0,0,0
0.0079,0.3536,0.359749,1.36394,1.34703,0,0,0,-8.02127,0,3.89451,-47.0744,0,0,0
0.008,0.3536,0.359888,1.36394,1.34666,0,0,0,-8.07899,0,4.03121,-46.5025,0,0,0
0.0081,0.3536,0.360029,1.36394,1.34628,0,0,0,-8.13541,0,4.16889,-45.9271,0,0,0
0.0082,0.3536,0.360171,1.36394,1.3459,0,0,0,-8.19053,0,4.30742,-45.3484,0,0,0
0.0083,0.3536,0.360313,1.36394,1.34552,0,0,0,-8.24436,0,4.44685,-44.7662,0,0,0
0.0084,0.3536,0.360457,1.36394,1.34513,0,0,0,-8.29688,0,4.58714,-44.1809,0,0,0
0.0085,0.3536,0.360601,1.36394,1.34475,0,0,0,-8.34809,0,4.72824,-43.5925,0,0,0
0.0086,0.3536,0.360746,1.36394,1.34436,0,0,0,-8.39801,0,4.87021,-43.0009,0,0,0
0.0087,0.3536,0.360892,1.36394,1.34397,0,0,0,-8.44662,0,5.01291,-42.4066,0,0,0
0.0088,0.3536,0.361038,1.36394,1.34358,0,0,0,-8.49393,0,5.1563,-41.8095,0,0,0
0.0089,0.3536,0.361186,1.36394,1.34318,0,0,0,-8.53993,0,5.30042,-41.2098,0,0,0
0.009,0.3536,0.361334,1.36394,1.34279,0,0,0,-8.58463,0,5.44528,-40.6075,0,0,0
0.0091,0.3536,0.361482,1.36394,1.3424,0,0,0,-8.62802,0,5.59084,-40.0026,0,0,0
0.0092,0.3536,0.361632,1.36394,1.342,0,0,0,-8.67011,0,5.73697,-39.3955,0,0,0
0.0093,0.3536,0.361782,1.36394,1.3416,0,0,0,-8.7109,0,5.88374,-38.7861,0,0,0
0.0094,0.3536,0.361933,1.36394,1.3412,0,0,0,-8.75039,0,6.03109,-38.1745,0,0,0
0.0095,0.3536,0.362084,1.36394,1.3408,0,0,0,-8.78858,0,6.179,-37.5609,0,0,0
0.0096,0.3536,0.362236,1.36394,1.3404,0,0,0,-8.82546,0,6.32744,-36.9453,0,0,0
0.0097,0.3536,0.362388,1.36394,1.34,0,0,0,-8.86106,0,6.47641,-36.3279,0,0,0
0.0098,0.3536,0.362541,1.36394,1.33959,0,0,0,-8.89535,0,6.62578,-35.7088,0,0,0
0.0099,0.3536,0.362695,1.36394,1.33919,0,0,0,-8.92835,0,6.77568,-35.088,0,0,0
0.01,0.3536,0.362848,1.36394,1.33879,0,0,0,-8.96006,0,6.92593,-34.4659,0,0,0
0.0101,0.3536,0.363003,1.36394,1.33838,0,0,0,-8.99048,0,7.07663,-33.8423,0,0,0
0.0102,0.3536,0.363158,1.36394,1.33797,0,0,0,-9.01961,0,7.22768,-33.2171,0,0,0
0.0103,0.3536,0.363313,1.36394,1.33757,0,0,0,-9.04745,0,7.37904,-32.5909,0,0,0
0.0104,0.3536,0.363469,1.36394,1.33716,0,0,0,-9.07402,0,7.53068,-31.9636,0,0,0
0.0105,0.3536,0.363625,1.36394,1.33676,0,0,0,-9.0993,0,7.68264,-31.3352,0,0,0
0.0106,0.3536,0.363781,1.36394,1.33635,0,0,0,-9.12331,0,7.83486,-30.7059,0,0,0
0.0107,0.3536,0.363938,1.36394,1.33594,0,0,0,-9.14605,0,7.98731,-30.0758,0,0,0
0.0108,0.3536,0.364095,1.36394,1.33553,0,0,0,-9.16751,0,8.13994,-29.4451,0,0,0
0.0109,0.3536,0.364252,1.36394,1.33513,0,0,0,-9.18772,0,8.29272,-28.8134,0,0,0
0.011,0.3536,0.36441,1.36394,1.33472,0,0,0,-9.20665,0,8.44568,-28.1813,0,0,0
0.0111,0.3536,0.364567,1.36394,1.33431,0,0,0,-9.22434,0,8.59874,-27.5491,0,0,0
0.0112,0.3536,0.364725,1.36394,1.33391,0,0,0,-9.24076,0,8.75189,-26.9163,0,0,0
0.0113,0.3536,0.364884,1.36394,1.3335,0,0,0,-9.25594,0,8.9051,-26.283,0,0,0
0.0114,0.3536,0.365042,1.36394,1.33309,0,0,0,-9.26987,0,9.05831,-25.6499,0,0,0
0.0115,0.3536,0.3652,1.36394,1.33269,0,0,0,-9.28257,0,9.21153,-25.0165,0,0,0
